Date,Gold-Price_Price,Gold-Price_Open,Gold-Price_High,Gold-Price_Low,Price
2015-01-01,1.5115348735829481,1.4146465939319544,1.602589586715465,1.4104617518890958,-0.651177066528823
2015-01-02,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6513892310204276
2015-01-03,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6527873090245039
2015-01-04,-0.15742394500773807,-0.13865775050562565,-0.19150724485022919,-0.1205377159956557,-0.6549532083609501
2015-01-05,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6550129293842304
2015-01-06,0.5417668369556486,0.44323025468616106,0.543702539219218,0.5384361650032824,-0.6543038592773386
2015-01-07,0.7045920875498615,0.6981068189437205,0.7379088972752984,0.6672581267023233,-0.6533941735043943
2015-01-08,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6536269481286024
2015-01-09,2.105368140455961,2.1792762867046336,2.1066013254800544,2.0991637778955043,-0.653823476238401
2015-01-10,0.1490706443460754,0.2220166328777134,0.15528982310705708,0.14206089823700374,-0.6542261416879457
2015-01-11,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6549601628658793
2015-01-12,-0.5477256486379845,-0.5041411256674093,-0.5706720391501953,-0.5218676735965125,-0.655266734729744
2015-01-13,1.087710324242128,0.8952754818599462,1.1818091442606244,0.9843583401153458,-0.6573411772458643
2015-01-14,1.2050402842291348,1.1261070872252832,1.1586893397301388,1.2519116451825842,-0.6612514727256952
2015-01-15,1.068554412407515,1.15496103789595,1.0800820043264872,1.0537240117994449,-0.6608064069187902
2015-01-16,1.0541874785315546,1.034736243434837,1.04309031707771,1.063633393468602,-0.6601574379084554
2015-01-17,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6607793490456263
2015-01-18,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6605013939341514
2015-01-19,0.9871417871104083,0.9818373338719475,0.950611098955767,1.0239958667919742,-0.660044317554465
2015-01-20,0.9703803642551212,0.9433653996443915,0.94598713804967,0.994267721784503,-0.6601982356556544
2015-01-21,0.7955826687642751,0.9866463256503918,0.9321152553313781,0.6474393633640091,-0.6594140608827586
2015-01-22,0.5633172377695881,0.5586460573688298,0.5714463046558006,0.5533002375070184,-0.6583834565010825
2015-01-23,0.19935491291193522,0.5394100902550515,0.4835910474399551,-0.10567364349192004,-0.6585272598941595
2015-01-24,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6577605755661095
2015-01-25,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6568867980359275
2015-01-26,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6541684020618992
2015-01-27,0.20174940189126175,0.31338747666815886,0.2154013148863199,0.18665311574821036,-0.6557417240722841
2015-01-28,0.17301553413934204,0.14507276442260064,0.1645377449192515,0.18169842491363217,-0.6571136715562673
2015-01-29,0.18977695699462843,0.12583679730882297,0.15991378401315462,0.2213359515902599,-0.6585535171053448
2015-01-30,0.18019900107732162,0.23163461643460256,0.15066586220096018,0.21142656992110279,-0.6581627361805914
2015-01-31,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.658958332444845
2015-02-01,1.3989938915545945,1.515635421279289,1.4083832286593851,1.3856882977162033,-0.6592206511745138
2015-02-02,0.2592171373951019,0.20278066576393503,0.2570169630411945,0.2609734782668876,-0.6583252525553986
2015-02-03,0.07963046394560196,0.1306457890872672,0.09517833132779425,0.0627858448837483,-0.6580889800994623
2015-02-04,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6589010976538614
2015-02-05,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6587763866726895
2015-02-06,0.5202164361417085,0.6115449669317192,0.5067108519704409,0.5334814741687042,-0.6590877644377319
2015-02-07,0.6854361757152486,0.6355899258239419,0.6916692882143268,0.6771675083714804,-0.6588279743850912
2015-02-08,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.658928745894653
2015-02-09,1.9185980000684812,1.76089400197996,1.9863783419215288,1.8415198544974238,-0.6593299367113327
2015-02-10,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6594924948877693
2015-02-11,-0.13108456623514453,-0.047286906715179836,-0.12214783125877192,-0.14035647933396955,-0.6593095375161822
2015-02-12,-0.5046248470101046,-0.537804068116521,-0.49206470374654393,-0.5169129827619343,-0.6593797957655829
2015-02-13,0.19217144597395497,0.12583679730882297,0.1645377449192515,0.2213359515902599,-0.6584648835027588
2015-02-14,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6570397045376852
2015-02-15,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.6571257258599843
2015-02-16,0.18019900107732162,0.2893425177759363,0.19228151035583413,0.16683435240989616,-0.6581689318251714
2015-02-17,-0.06138509310541836,-0.05987868769930225,-0.0601797878228878,-0.06253423788891421,-0.65776660336107
2015-02-18,0.15625411128405498,0.09217385485971119,0.12754605767047444,0.18665311574821036,-0.6578297379697178
