Date,brent-daily_Price,dubai-crude_oil_Price,wti-daily_Price,Price
2015-01-01,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.673238640503599
2015-01-02,-0.2133066419328438,-0.2133066419328438,-0.1266742731648854,-0.673437942948988
2015-01-03,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6747512652818132
2015-01-04,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6767858613207411
2015-01-05,-0.5948528841012524,-0.5948528841012524,-0.39453148917981085,-0.6768419618769222
2015-01-06,-0.6800353009574552,-0.6800353009574552,-0.6021960723823934,-0.6761758777212424
2015-01-07,-0.7740908862361786,-0.7740908862361786,-0.5309681235544543,-0.67532133982137
2015-01-08,-0.7412601630728507,-0.7412601630728507,-0.5199328075388582,-0.6755400029514644
2015-01-09,-0.9000898778359787,-0.9000898778359787,-0.5650772821481149,-0.6757246169392919
2015-01-10,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.676102871604627
2015-01-11,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6767923942227757
2015-01-12,-0.9657513241626352,-0.9657513241626352,-0.7948124973818896,-0.6770803807830788
2015-01-13,-1.1228064052412587,-1.1228064052412587,-0.808857445038103,-0.6790290643877414
2015-01-14,-1.061581543125863,-1.061581543125863,-0.5510323344919015,-0.6827023060571147
2015-01-15,-0.8983152441514748,-0.8983152441514748,-0.7637129704288463,-0.6822842214709322
2015-01-16,-0.9231601157345334,-0.9231601157345334,-0.5510323344919015,-0.6816745949035309
2015-01-17,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6822588039269887
2015-01-18,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6819976992859326
2015-01-19,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6815683322438227
2015-01-20,-1.0021313146949715,-1.0021313146949715,-0.7215781274602062,-0.6817129193692396
2015-01-21,-1.0012439978527194,-1.0012439978527194,-0.6152378094917338,-0.6809762836171004
2015-01-22,-1.0376239883850558,-1.0376239883850558,-0.8078542344912308,-0.680008157556311
2015-01-23,-0.9843849778499296,-0.9843849778499296,-0.8750693411316804,-0.6801432431574815
2015-01-24,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6794230375270951
2015-01-25,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6786022310048818
2015-01-26,-1.0393986220695604,-1.0393986220695604,-0.92121702628781,-0.6760486323274517
2015-01-27,-0.9968074136414592,-0.9968074136414592,-0.8168831294130818,-0.6775265748506438
2015-01-28,-0.9506669378443491,-0.9506669378443491,-0.9934481856626212,-0.6788153507736788
2015-01-29,-0.9914835125879463,-0.9914835125879463,-0.9894353434751317,-0.6801679085779708
2015-01-30,-0.9107376799430038,-0.9107376799430038,-0.6212570727729684,-0.6798008179619792
2015-01-31,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6805481828005004
2015-02-01,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6807945989839951
2015-02-02,-0.5362899725126127,-0.5362899725126127,-0.4747883329296009,-0.6799534821079438
2015-02-03,-0.2993763756312992,-0.2993763756312992,-0.09457153566496922,-0.6797315331951449
2015-02-04,-0.24081346404265946,-0.24081346404265946,-0.5550451766793909,-0.6804944177537762
2015-02-05,-0.16006763139771757,-0.16006763139771757,-0.35139343566429854,-0.6803772671253819
2015-02-06,-0.16894079982023819,-0.16894079982023819,-0.23301459113335782,-0.6806697682387556
2015-02-07,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6804257274363225
2015-02-08,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6805203898754955
2015-02-09,-0.06956131348800186,-0.06956131348800186,-0.09958758839933082,-0.6808972593046214
2015-02-10,-0.1769266514005075,-0.1769266514005075,-0.39352827863293793,-0.6810499627180756
2015-02-11,-0.3818968419607456,-0.3818968419607456,-0.5199328075388582,-0.6808780967697095
2015-02-12,-0.13788471034141478,-0.13788471034141478,-0.2821719079301039,-0.6809440957538392
2015-02-13,0.22591519498195128,0.22591519498195128,-0.1326935364461199,-0.6800846482095396
2015-02-14,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.678745867857051
2015-02-15,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6788266743094414
2015-02-16,0.33594248342121336,0.33594248342121336,0.4535924364517486,-0.6798066380080492
2015-02-17,0.2658444528832966,0.2658444528832966,-0.04240458722760518,-0.6794286998990916
2015-02-18,0.26052055182978373,0.26052055182978373,-0.18586369543035539,-0.6794880070988829
2015-02-19,0.08838108443287418,0.08838108443287418,-0.2871879606644662,-0.6794217713015852
2015-02-20,0.284478106570591,0.284478106570591,-0.40456359464853403,-0.6790996564599208
2015-02-21,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6786204426624308
2015-02-22,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6793434199734659
2015-02-23,0.1771127686580854,0.1771127686580854,-0.4436888059765569,-0.6796487875328847
2015-02-24,0.22591519498195128,0.22591519498195128,-0.5520355450387744,-0.6794994097737398
2015-02-25,0.17622545181583346,0.17622545181583346,-0.3744672782423629,-0.6795561440467911
2015-02-26,0.3199707802606754,0.3199707802606754,-0.6353020204291817,-0.6796710769681973
2015-02-27,0.36433662237328096,0.36433662237328096,-0.4155989106641302,-0.678834829260853
2015-02-28,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6783960791010808
2015-03-01,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6782605978044384
