Date,Gold-Price_Price,Gold-Price_Open,Gold-Price_High,Gold-Price_Low,brent-daily_Price,dubai-crude_oil_Price,wti-daily_Price,Price
2015-01-01,-1.2011904231223534,-1.197954289464524,-1.210224937608645,-1.1916873001236965,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.673238640503599
2015-01-02,-1.1845731638207826,-1.2015975865493442,-1.1967852146828273,-1.2291052352717922,-0.2133066419328438,-0.2133066419328438,-0.1266742731648854,-0.673437942948988
2015-01-03,0.19895582967548353,0.19930455954857001,0.19839342033865073,0.20050667523634028,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6747512652818132
2015-01-04,0.19895582967548353,0.19930455954857001,0.19839342033865073,0.20050667523634028,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6767858613207411
2015-01-05,-1.1631456452477045,-1.1702652316198903,-1.1720734660772916,-1.1753353678345682,-0.5948528841012524,-0.5948528841012524,-0.39453148917981085,-0.6768419618769222
2015-01-06,-1.0847238425788879,-1.1272743260190115,-1.0953369835653652,-1.1099276386780546,-0.6800353009574552,-0.6800353009574552,-0.6021960723823934,-0.6761758777212424
2015-01-07,-1.1176668303170896,-1.0933187971884868,-1.108632193341443,-1.1075706033931352,-0.7740908862361786,-0.7740908862361786,-0.5309681235544543,-0.67532133982137
2015-01-08,-1.1688304971140313,-1.119259072432407,-1.1375348232894378,-1.1576576031976726,-0.7412601630728507,-0.7412601630728507,-0.5199328075388582,-0.6755400029514644
2015-01-09,-1.1691220279789711,-1.177406093906138,-1.1769869131684507,-1.1709159266753442,-0.9000898778359787,-0.9000898778359787,-0.5650772821481149,-0.6757246169392919
2015-01-10,0.19895582967548353,0.19930455954857001,0.19839342033865073,0.20050667523634028,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.676102871604627
2015-01-11,0.19895582967548353,0.19930455954857001,0.19839342033865073,0.20050667523634028,0.41774703655208156,0.41774703655208156,0.4535924364517486,-0.6767923942227757
2015-01-12,-1.1361790402407692,-1.1607926591993576,-1.142014730931377,-1.1474928885314577,-0.9657513241626352,-0.9657513241626352,-0.7948124973818896,-0.6770803807830788
