Date,bitcoin-data_Price,bitcoin-data_Open,bitcoin-data_High,bitcoin-data_Low,brent-daily_Price,dubai-daily_Price,dubai-daily_Open,dubai-daily_High,dubai-daily_Low,Gold-Price_Open,wti-daily_Price,Gold-Price_Price
2015-01-01,-0.651177066528823,-0.6498448133408491,-0.648662502681961,-0.6534396467677234,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,1.4146465939319544,0.5010108468300081,1.5115348735829481
2015-01-02,-0.6513892310204276,-0.6503789527178504,-0.649036781235566,-0.6534778828952661,-0.18292653617153115,-0.23486937373759323,-0.23486976235550255,-0.23486976235550255,-0.23486976235550255,-0.05987868769930225,-0.09035380879580382,-0.06138509310541836
2015-01-03,-0.6527873090245039,-0.6503144963314624,-0.6490928899652292,-0.6563136304471647,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
2015-01-04,-0.6549532083609501,-0.6531465508921291,-0.6513665696751882,-0.6583625481888481,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.13865775050562565,0.5010108468300081,-0.15742394500773807
2015-01-05,-0.6550129293842304,-0.6544963547685987,-0.6520904510692022,-0.6577102455010038,-0.5677862113028093,-0.6299784867814753,-0.6299788005682405,-0.6299788005682405,-0.6299788005682405,-0.05987868769930225,-0.36333395340931507,-0.06138509310541836
2015-01-06,-0.6543038592773386,-0.6536957342814868,-0.6513402661452792,-0.6570457222782488,-0.6537083713321178,-0.7516945642594479,-0.751694854993965,-0.751694854993965,-0.751694854993965,0.44323025468616106,-0.5749702453006889,0.5417668369556486
2015-01-07,-0.6533941735043943,-0.6527321634948358,-0.6504281072453718,-0.6561392926744404,-0.7485807563644788,-0.7470131766641416,-0.7470134682852836,-0.7470134682852836,-0.7470134682852836,0.6981068189437205,-0.502380019579493,0.7045920875498615
2015-01-08,-0.6536269481286024,-0.6520549905929218,-0.6508042571668926,-0.6562182132991754,-0.7154649238531832,-0.7676112820834907,-0.7676115698034831,-0.7676115698034831,-0.7676115698034831,-0.05987868769930225,-0.49113364658043446,-0.06138509310541836
2015-01-09,-0.653823476238401,-0.6530425969206236,-0.6510502737043786,-0.6563615588149527,-0.8756739514078312,-0.7956996076553304,-0.7956998900555732,-0.7956998900555732,-0.7956998900555732,2.1792762867046336,-0.5371415361220371,2.105368140455961
2015-01-10,-0.6542261416879457,-0.6526291327835498,-0.6512935217108444,-0.6569348529605447,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,0.2220166328777134,0.5010108468300081,0.1490706443460754
2015-01-11,-0.6549601628658793,-0.6536959856134354,-0.6519848293740839,-0.6577141751476123,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
2015-01-12,-0.655266734729744,-0.6544071088453141,-0.6525903026348293,-0.6577001190015062,-0.9419056164304234,-0.9604844510101244,-0.9604847022011695,-0.9604847022011695,-0.9604847022011695,-0.5041411256674093,-0.7712705740115277,-0.5477256486379845
2015-01-13,-0.6573411772458643,-0.6543022290489772,-0.6529100182633444,-0.6616542599631934,-1.1003245989844606,-1.0157248246347432,-1.0157250653636143,-1.0157250653636143,-1.0157250653636143,0.8952754818599462,-0.7855841396466932,1.087710324242128
2015-01-14,-0.6612514727256952,-0.6579578483955191,-0.6565243740311713,-0.6658792041953844,-1.0385680464633953,-0.9089891874617515,-0.9089894484056709,-0.9089894484056709,-0.9089894484056709,1.1261070872252832,-0.5228279704868716,1.2050402842291348
2015-01-15,-0.6608064069187902,-0.6619073440345772,-0.6561031074919286,-0.6654089214063632,-0.8738839064072209,-0.9951267192153941,-0.9951269638454148,-0.9951269638454148,-0.9951269638454148,1.15496103789595,-0.7395762501050905,1.068554412407515
2015-01-16,-0.6601574379084554,-0.6592036149506022,-0.656711919640848,-0.6634120348499438,-0.8989445364157688,-0.9445677331860822,-0.9445679873916523,-0.9445679873916523,-0.9445679873916523,1.034736243434837,-0.5228279704868716,1.0541874785315546
2015-01-17,-0.6607793490456263,-0.6593074855722267,-0.6575148744062602,-0.6638394525209258,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
2015-01-18,-0.6605013939341514,-0.6599616308254963,-0.6569477567321409,-0.6638716662985306,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
2015-01-19,-0.660044317554465,-0.6590018428411341,-0.6571079413523492,-0.6627531863033083,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,0.9818373338719475,0.5010108468300081,0.9871417871104083
2015-01-20,-0.6601982356556544,-0.6588811650365948,-0.6572290360044982,-0.6629421889843422,-0.9786015389429402,-1.0222787672681726,-1.0222790067557688,-1.0222790067557688,-1.0222790067557688,0.9433653996443915,-0.6966355531995942,0.9703803642551212
2015-01-21,-0.6594140608827586,-0.6590096572130484,-0.6562072641520053,-0.6624132412337485,-0.9777065164426351,-0.9988718292916393,-0.99887207321236,-0.99887207321236,-0.99887207321236,0.9866463256503918,-0.5882614133904848,0.7955826687642751
2015-01-22,-0.6583834565010825,-0.6576697681254928,-0.6554555321809008,-0.6610843692911895,-1.014402438955152,-1.011979714558498,-1.011979955996669,-1.011979955996669,-1.011979955996669,0.5586460573688298,-0.7845617421013243,0.5633172377695881
2015-01-23,-0.6585272598941595,-0.6571491583576266,-0.6556325727810418,-0.6611924465616763,-0.9607010889368347,-1.0007443843297616,-1.0007446278958323,-1.0007446278958323,-1.0007446278958323,0.5394100902550515,-0.8530623776410445,0.19935491291193522
2015-01-24,-0.6577605755661095,-0.6572178168603197,-0.6545441859467417,-0.6607711391581497,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
2015-01-25,-0.6568867980359275,-0.6559865031745912,-0.6539852123266201,-0.6595604709855751,0.45360735369681376,0.4372965498826209,0.4372974203536807,0.4372974203536807,0.4372974203536807,-0.05987868769930225,0.5010108468300081,-0.06138509310541836
