Date,Price,Open,High,Low
22-09-2022,27.5,27.4,28,27
21-09-2022,28.05,28,28.5,27.6
20-09-2022,28.275,28.1,28.9,27.65
19-09-2022,28.175,27.85,28.7,27.65
16-09-2022,28.775,28.6,30,27.55
15-09-2022,29.825,29.55,31,28.65
14-09-2022,28.85,28.7,29.7,28
13-09-2022,28.725,28.95,29.2,28.25
12-09-2022,28.975,28.7,29.5,28.45
09-09-2022,29.15,29.5,29.55,28.75
08-09-2022,29.125,29.5,29.5,28.75
07-09-2022,29.625,29.85,30.25,29
06-09-2022,29.725,29.85,30.45,29
05-09-2022,29.125,28.9,30.4,27.85
02-09-2022,28.8,29.25,29.3,28.3
01-09-2022,29.35,29.4,29.9,28.8
30-08-2022,30,30.25,30.75,29.25
29-08-2022,30,29.85,31.4,28.6
26-08-2022,30.5,30.75,31.45,29.55
25-08-2022,30.875,31,32,29.75
24-08-2022,31.45,31.7,32.4,30.5
23-08-2022,30.45,28.5,32.4,28.5
22-08-2022,29.225,30.45,30.45,28
19-08-2022,31.325,32.65,32.65,30
18-08-2022,31.225,30.25,32.2,30.25
17-08-2022,29.75,29.4,30.9,28.6
16-08-2022,29.05,29.25,29.5,28.6
12-08-2022,29.25,29.25,30,28.5
11-08-2022,29.325,30,30.45,28.2
10-08-2022,30.025,28.6,31.45,28.6
08-08-2022,29.35,28.5,31,27.7
05-08-2022,29.325,28.95,30.5,28.15
04-08-2022,28.5,28.95,29.5,27.5
03-08-2022,28.85,26.6,31.6,26.1
02-08-2022,26.6,27.95,27.95,25.25
01-08-2022,27.45,27.5,28.7,26.2
29-07-2022,28.1,28.35,28.9,27.3
28-07-2022,28.65,28,29.6,27.7
27-07-2022,28.025,27.7,29,27.05
26-07-2022,28.475,29.45,29.45,27.5
25-07-2022,28.575,25.75,31.4,25.75
22-07-2022,26.9,27.8,27.8,26
21-07-2022,25.725,23.55,28.2,23.25
20-07-2022,23.9,24,24.65,23.15
19-07-2022,23.95,24.25,24.5,23.4
18-07-2022,23.75,23.3,24.2,23.3
15-07-2022,24.1,24,24.95,23.25
14-07-2022,24.05,24.5,25,23.1
13-07-2022,23.9,23.55,24.5,23.3
12-07-2022,23.8,23.8,24.15,23.45
11-07-2022,23.4,23.5,24,22.8
08-07-2022,23.825,24.2,24.4,23.25
07-07-2022,24,23.8,24.45,23.55
06-07-2022,23.3,22.75,23.85,22.75
05-07-2022,23.4,23.9,23.9,22.9
04-07-2022,23.775,23.7,24,23.55
01-07-2022,24.3,24.9,24.9,23.7
30-06-2022,24.075,24,25.45,22.7
29-06-2022,23.25,22.4,24.8,21.7
28-06-2022,22.25,22.7,22.7,21.8
27-06-2022,22.2,22.45,22.8,21.6
24-06-2022,21.975,21.95,22.65,21.3
23-06-2022,21.625,21.6,21.75,21.5
22-06-2022,21.175,21.75,21.75,20.6
21-06-2022,21.7,21.5,22,21.4
20-06-2022,22.175,23,23.6,20.75
17-06-2022,21.65,20.8,23,20.3
16-06-2022,22.1,23.65,24,20.2
15-06-2022,23.425,23.5,23.75,23.1
14-06-2022,23.125,23,23.75,22.5
13-06-2022,23.75,23.9,24.5,23
10-06-2022,24.225,24,24.6,23.85
09-06-2022,24.25,23.8,25.3,23.2
08-06-2022,23.9,24,24.3,23.5
07-06-2022,24.55,25.35,25.35,23.75
06-06-2022,24.825,23.55,26.1,23.55
03-06-2022,24.05,24.2,24.85,23.25
02-06-2022,24.375,24.5,24.95,23.8
01-06-2022,24.375,24.45,25,23.75
31-05-2022,24,24,24.85,23.15
30-05-2022,24.225,24.95,24.95,23.5
27-05-2022,23.975,23.9,24.55,23.4
26-05-2022,23.025,23,23.75,22.3
25-05-2022,24,24.8,25,23
24-05-2022,25.675,26.5,27,24.35
23-05-2022,26.775,26.5,27.8,25.75
20-05-2022,26.425,25.95,26.9,25.95
19-05-2022,26,25.55,26.5,25.5
18-05-2022,26.4,25.4,27.4,25.4
17-05-2022,25.575,25.75,26.25,24.9
16-05-2022,24.6,24.6,25.4,23.8
13-05-2022,24.525,23.8,25.25,23.8
12-05-2022,22.6,22.9,23.7,21.5
11-05-2022,23.6,24.4,24.7,22.5
10-05-2022,25.125,25,26.25,24
09-05-2022,25.95,26.3,26.9,25
06-05-2022,26.95,27.9,27.9,26
05-05-2022,28.075,28.95,28.95,27.2
04-05-2022,29.05,29.85,29.85,28.25
02-05-2022,29.25,29,29.85,28.65
29-04-2022,29.525,29.25,30,29.05
28-04-2022,29.725,30.4,30.4,29.05
27-04-2022,30,31,31,29
26-04-2022,30.6,30.9,31.1,30.1
25-04-2022,30.625,30,31.75,29.5
22-04-2022,30.95,31.4,31.9,30
21-04-2022,31.525,32,32,31.05
20-04-2022,31.625,31.45,32,31.25
19-04-2022,31.85,33.5,33.5,30.2
18-04-2022,33.775,34.8,34.8,32.75
13-04-2022,34.5,35.5,35.5,33.5
12-04-2022,33.15,32.7,34.85,31.45
11-04-2022,31.75,32.2,33.5,30
08-04-2022,32.95,32.5,33.4,32.5
07-04-2022,33.075,33,33.6,32.55
06-04-2022,32.975,33,33.95,32
05-04-2022,33.7,34.5,34.5,32.9
04-04-2022,33.175,33.5,34.3,32.05
01-04-2022,32.7,33.2,33.5,31.9
31-03-2022,34.05,34.9,34.9,33.2
30-03-2022,34.325,34.3,35.1,33.55
29-03-2022,35.3,36,36.5,34.1
28-03-2022,34.825,34.95,36,33.65
25-03-2022,33.775,32.5,35.05,32.5
24-03-2022,33.6,33.8,35,32.2
23-03-2022,32.8,34.35,34.35,31.25
22-03-2022,32.625,32.75,32.75,32.5
21-03-2022,30.475,29.75,31.2,29.75
17-03-2022,29.45,29.5,30.15,28.75
16-03-2022,27.875,27.9,28.75,27
15-03-2022,27.575,27.65,28.5,26.65
14-03-2022,28.5,28.5,29.5,27.5
11-03-2022,28.5,29,29.4,27.6
10-03-2022,28.2,27.95,28.85,27.55
09-03-2022,26.775,26.5,27.55,26
08-03-2022,26.025,25.9,26.8,25.25
07-03-2022,26.85,25.75,28,25.7
04-03-2022,27.575,27.05,28.5,26.65
03-03-2022,28.6,29.45,29.45,27.75
02-03-2022,28.225,27.25,29.2,27.25
28-02-2022,27.325,27.8,28.4,26.25
25-02-2022,27.95,27.9,28.9,27
24-02-2022,28.25,28.95,28.95,27.55
23-02-2022,28.675,28.5,29.35,28
22-02-2022,27.35,26.6,28.1,26.6
21-02-2022,28.725,29.45,29.45,28
18-02-2022,28.975,29.25,29.95,28
17-02-2022,28.9,29.5,30,27.8
16-02-2022,28.55,28.5,29.25,27.85
15-02-2022,28.15,28.5,28.95,27.35
14-02-2022,29.375,29.05,30,28.75
11-02-2022,30.4,30.15,31,29.8
10-02-2022,30.5,31,31,30
09-02-2022,30.475,31,31.4,29.55
08-02-2022,30.25,29.25,31.3,29.2
07-02-2022,29.85,30.45,30.95,28.75
04-02-2022,30.525,30.25,31.5,29.55
03-02-2022,30.225,30.1,30.9,29.55
02-02-2022,29.65,30,30.2,29.1
01-02-2022,30.325,31.35,31.35,29.3
31-01-2022,31.7,32.8,32.8,30.6
28-01-2022,31.85,32,32.7,31
27-01-2022,31.225,32.45,32.45,30
25-01-2022,29.9,30.25,31.35,28.45
24-01-2022,30.875,31.9,31.95,29.8
21-01-2022,32.275,33.25,33.25,31.3
20-01-2022,33.6,34.5,34.6,32.6
19-01-2022,33.6,33.75,34.7,32.5
18-01-2022,33.725,35.35,35.35,32.1
17-01-2022,32.525,32.55,33.8,31.25
14-01-2022,31.125,30.95,32.25,30
13-01-2022,30.45,31,31.3,29.6
12-01-2022,30.125,30,31.25,29
11-01-2022,30.8,32,32,29.6
10-01-2022,30.9,31.75,32.2,29.6
07-01-2022,30.35,31.85,31.85,28.85
06-01-2022,28.95,30.35,30.35,27.55
05-01-2022,28.95,28.95,28.95,28.95
04-01-2022,27.6,27.6,27.6,27.6
03-01-2022,26.3,26.3,26.3,26.3
31-12-2021,24.95,25,25.05,24.85
30-12-2021,23.475,23.45,23.9,23.05
29-12-2021,22.4,22,22.8,22
28-12-2021,21.125,20.9,21.75,20.5
27-12-2021,21.175,21.55,21.7,20.65
24-12-2021,21.475,21.9,21.9,21.05
23-12-2021,20.45,20,20.9,20
22-12-2021,19.825,19.9,20,19.65
21-12-2021,19.9,20.45,20.5,19.3
20-12-2021,20.075,20.1,20.65,19.5
17-12-2021,21.075,21.7,21.7,20.45
16-12-2021,22.225,23,23,21.45
15-12-2021,22.375,22.6,22.9,21.85
14-12-2021,21.175,21,21.85,20.5
13-12-2021,20.7,20.2,21.2,20.2
10-12-2021,20.325,20.65,20.65,20
09-12-2021,20.475,20.2,20.85,20.1
08-12-2021,20.675,20.15,21.25,20.1
07-12-2021,20.2,20.5,20.65,19.75
06-12-2021,20.725,21.35,21.35,20.1
03-12-2021,20.575,20.25,21.05,20.1
02-12-2021,19.9,19.7,20.3,19.5
01-12-2021,19.825,20,20.25,19.4
30-11-2021,20.075,20,20.45,19.7
29-11-2021,19.875,20.1,20.4,19.35
26-11-2021,20.275,20.5,20.75,19.8
25-11-2021,20.875,21.2,21.25,20.5
24-11-2021,21.35,20.85,21.85,20.85
23-11-2021,20.625,20.5,21.2,20.05
22-11-2021,21.225,21.95,21.95,20.5
18-11-2021,22.225,22.65,22.9,21.55
17-11-2021,22.825,22.85,23.55,22.1
16-11-2021,22.35,22.1,23.15,21.55
15-11-2021,22.075,22.7,22.7,21.45
12-11-2021,23.6,24.4,24.65,22.55
11-11-2021,23.35,23,23.7,23
10-11-2021,22.3,22.15,22.6,22
09-11-2021,21.15,21.15,21.55,20.75
08-11-2021,20.425,20.5,21,19.85
04-11-2021,20.175,19.75,20.6,19.75
03-11-2021,20,20.5,20.5,19.5
02-11-2021,20.575,20.65,20.95,20.2
01-11-2021,20.125,20.4,20.4,19.85
29-10-2021,20.5,21,21,20
28-10-2021,20.975,21.5,21.5,20.45
27-10-2021,22.125,22.85,22.85,21.4
26-10-2021,22.05,22,22.75,21.35
25-10-2021,22.575,22.8,22.8,22.35
22-10-2021,23.725,24.25,24.25,23.2
