Date,Price,Open,High,Low
2015-01-01,48.075,47.0,50.55,45.6
2015-01-02,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-03,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-04,30.65,30.85,31.15,30.15
2015-01-05,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-06,37.95,36.9,39.1,36.8
2015-01-07,39.65,39.55,41.2,38.1
2015-01-08,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-09,54.275,54.95,56.0,52.55
2015-01-10,33.85,34.6,34.9,32.8
2015-01-11,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-12,26.575,27.05,27.05,26.1
2015-01-13,43.65,41.6,46.0,41.3
2015-01-14,44.875,44.0,45.75,44.0
2015-01-15,43.45,44.3,44.9,42.0
2015-01-16,43.3,43.05,44.5,42.1
2015-01-17,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-18,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-19,42.6,42.5,43.5,41.7
2015-01-20,42.425,42.1,43.45,41.4
2015-01-21,40.6,42.55,43.3,37.9
2015-01-22,38.175,38.1,39.4,36.95
2015-01-23,34.375,37.9,38.45,30.3
2015-01-24,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-25,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-26,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-01-27,34.4,35.55,35.55,33.25
2015-01-28,34.1,33.8,35.0,33.2
2015-01-29,34.275,33.6,34.95,33.6
2015-01-30,34.175,34.7,34.85,33.5
2015-01-31,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-01,46.9,48.05,48.45,45.35
2015-02-02,35.0,34.4,36.0,34.0
2015-02-03,33.125,33.65,34.25,32.0
2015-02-04,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-05,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-06,37.725,38.65,38.7,36.75
2015-02-07,39.45,38.9,40.7,38.2
2015-02-08,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-09,52.325,50.6,54.7,49.95
2015-02-10,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-11,30.925,31.8,31.9,29.95
2015-02-12,27.025,26.7,27.9,26.15
2015-02-13,34.3,33.6,35.0,33.6
2015-02-14,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-15,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-16,34.175,35.3,35.3,33.05
2015-02-17,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-18,33.925,33.25,34.6,33.25
2015-02-19,33.7,34.4,34.4,33.0
2015-02-20,34.9,33.0,36.8,33.0
2015-02-21,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-22,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-02-23,34.375,34.15,35.0,33.75
2015-02-24,34.2,34.0,34.9,33.5
2015-02-25,34.35,34.35,35.1,33.6
2015-02-26,33.85,34.5,34.55,33.15
2015-02-27,33.875,33.0,34.75,33.0
2015-02-28,34.55,33.9,35.55,33.55
2015-03-01,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-02,37.7,36.1,40.0,35.4
2015-03-03,32.75,33.0,33.5,32.0
2015-03-04,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-05,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-06,35.425,37.2,37.8,33.05
2015-03-07,40.025,40.3,40.85,39.2
2015-03-08,73.225,68.9,78.05,68.4
2015-03-09,39.05,38.2,40.85,37.25
2015-03-10,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-11,28.925,28.65,29.35,28.5
2015-03-12,28.675,28.9,29.25,28.1
2015-03-13,32.25,32.9,33.5,31.0
2015-03-14,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-15,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-16,30.45,30.6,31.6,29.3
2015-03-17,29.8,29.25,30.5,29.1
2015-03-18,31.625,32.9,32.9,30.35
2015-03-19,31.4,31.25,32.8,30.0
2015-03-20,31.0,29.65,32.8,29.2
2015-03-21,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-22,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-23,30.425,33.55,33.55,27.3
2015-03-24,28.5,28.0,29.4,27.6
2015-03-25,32.325,31.3,33.65,31.0
2015-03-26,33.2,36.0,36.5,29.9
2015-03-27,30.7,31.5,31.9,29.5
2015-03-28,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-29,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-03-30,30.925,31.25,31.8,30.05
2015-03-31,30.675,30.15,31.35,30.0
2015-04-01,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-02,39.175,39.9,41.0,37.35
2015-04-03,32.55,32.8,33.5,31.6
2015-04-04,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-05,38.225,38.35,38.7,37.75
2015-04-06,34.55,35.0,35.3,33.8
2015-04-07,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-08,85.05,81.05,91.5,78.6
2015-04-09,37.9,39.0,39.0,36.8
2015-04-10,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-11,28.075,28.0,29.0,27.15
2015-04-12,30.675,29.9,32.15,29.2
2015-04-13,40.25,39.2,41.5,39.0
2015-04-14,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-15,38.9,41.4,41.4,36.4
2015-04-16,37.2,38.4,38.4,36.0
2015-04-17,38.1,36.25,39.95,36.25
2015-04-18,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-19,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-20,37.7,38.45,39.5,35.9
2015-04-21,39.825,35.85,43.8,35.85
2015-04-22,42.45,45.0,45.9,39.0
2015-04-23,40.7,40.25,42.35,39.05
2015-04-24,39.525,40.3,41.0,38.05
2015-04-25,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-26,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-04-27,39.1,38.7,40.7,37.5
2015-04-28,37.1,37.0,38.0,36.2
2015-04-29,37.3,36.2,38.4,36.2
2015-04-30,37.425,37.0,38.25,36.6
2015-05-01,46.85,45.9,48.7,45.0
2015-05-02,37.125,38.1,38.75,35.5
2015-05-03,31.775,31.85,32.55,31.0
2015-05-04,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-05,38.275,38.4,38.75,37.8
2015-05-06,35.1,34.9,35.9,34.3
2015-05-07,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-08,84.8,82.4,91.5,78.1
2015-05-09,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-10,34.05,33.9,35.0,33.1
2015-05-11,28.1,27.25,29.05,27.15
2015-05-12,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-13,39.05,38.75,39.9,38.2
2015-05-14,38.625,39.75,39.75,37.5
2015-05-15,38.625,38.1,39.35,37.9
2015-05-16,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-17,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-18,39.675,38.55,41.0,38.35
2015-05-19,39.95,39.25,40.85,39.05
2015-05-20,39.75,39.65,40.5,39.0
2015-05-21,39.05,40.0,40.0,38.1
2015-05-22,38.825,38.15,39.5,38.15
2015-05-23,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-24,31.65270718232044,31.669080863887494,32.57007533902561,30.735339025615268
2015-05-25,38.65,39.0,39.0,38.3
